Participant,Group,Similarity
000,B,7
001,B,4
002,B,6
004,B,3
005,B,8
007,B,4
008,B,8
009,B,7
010,B,8
011,B,4
006,B,6
012,B,4
013,B,3
014,B,5
015,B,6
017,B,3
018,B,3
019,B,7
020,B,7
021,B,7
023,B,5
024,B,3
025,B,5
026,B,6
027,B,5
028,B,8
000,C,9
001,C,4
002,C,5
004,C,4
005,C,6
007,C,6
008,C,7
009,C,7
010,C,5
011,C,5
006,C,6
012,C,4
013,C,5
014,C,7
015,C,7
017,C,5
018,C,3
019,C,5
020,C,6
021,C,9
023,C,6
024,C,8
025,C,6
026,C,7
027,C,6
028,C,9
000,D,10
001,D,5
002,D,4
004,D,7
005,D,9
007,D,4
008,D,9
009,D,8
010,D,7
011,D,6
006,D,8
012,D,5
013,D,5
014,D,7
015,D,8
017,D,8
018,D,4
019,D,9
020,D,8
021,D,9
023,D,9
024,D,8
025,D,7
026,D,8
027,D,7
028,D,9
