Participant,Group,sweet,savory,sour,burnt/smoked,fresh,chemical/artificial
000,A,4,5,1,1,7,1
001,A,1,2,10,1,3,2
002,A,5,4,3,1,9,1
004,A,10,2,1,1,9,5
005,A,3,4,5,1,9,2
007,A,2,3,5,1,10,1
008,A,6,4,3,1,4,1
009,A,6,4,1,1,8,1
010,A,5,7,6,1,2,3
011,A,8,2,4,1,6,3
006,A,1,8,1,1,6,5
012,A,2,8,4,1,3,7
013,A,4,9,2,2,5,5
014,A,3,6,4,1,2,1
015,A,3,8,3,1,2,2
017,A,4,7,4,9,3,7
018,A,4,7,3,3,1,6
019,A,4,8,2,7,4,2
020,A,7,4,1,7,4,2
021,A,7,7,3,1,6,4
023,A,4,2,1,1,2,6
024,A,10,5,2,8,4,7
025,A,8,3,2,4,5,2
026,A,7,4,1,1,8,2
027,A,6,4,1,2,6,2
028,A,6,4,2,7,1,5
000,B,5,4,1,1,6,1
001,B,5,5,7,4,4,6
002,B,7,3,2,1,6,8
004,B,10,1,4,1,6,10
005,B,2,2,5,1,9,4
007,B,3,6,5,2,7,8
008,B,8,8,4,2,1,4
009,B,9,5,2,2,8,3
010,B,6,7,7,1,2,3
011,B,7,6,2,1,2,8
006,B,4,7,3,1,6,7
012,B,4,7,3,1,3,8
013,B,2,4,5,2,1,6
014,B,5,2,2,1,1,3
015,B,4,7,1,1,1,10
017,B,7,6,5,3,6,5
018,B,5,2,2,2,1,3
019,B,2,8,6,5,3,4
020,B,7,3,1,6,5,3
021,B,7,6,4,1,2,8
023,B,4,2,2,1,3,8
024,B,7,6,4,1,9,7
025,B,9,2,5,4,6,6
026,B,8,6,2,1,6,3
027,B,4,3,1,1,5,2
028,B,9,3,2,4,3,7
000,C,3,4,1,1,7,1
001,C,7,3,4,4,4,8
002,C,6,3,4,1,8,7
004,C,9,5,3,1,10,10
005,C,2,3,3,1,6,1
007,C,5,7,3,1,7,7
008,C,8,9,6,4,1,5
009,C,7,6,2,2,8,3
010,C,8,6,6,1,1,7
011,C,7,2,3,1,2,5
006,C,2,7,4,1,5,7
012,C,6,7,5,1,2,7
013,C,2,3,7,1,2,6
014,C,5,4,2,1,3,3
015,C,6,8,1,1,1,9
017,C,7,6,4,4,8,7
018,C,4,4,4,1,1,1
019,C,6,7,4,3,4,3
020,C,8,3,3,5,4,2
021,C,7,6,3,1,5,4
023,C,4,5,3,2,5,8
024,C,6,4,6,5,8,6
025,C,7,2,3,2,5,7
026,C,8,4,1,1,7,4
027,C,6,2,1,2,4,3
028,C,8,2,3,7,2,5
000,D,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
001,D,4,4,8,5,5,4
002,D,5,2,4,1,8,8
004,D,10,1,1,1,9,6
005,D,2,6,5,1,7,1
007,D,5,7,3,1,8,8
008,D,7,5,2,2,5,1
009,D,6,6,2,2,8,2
010,D,7,6,6,1,7,5
011,D,6,4,3,1,4,5
006,D,2,8,3,1,6,4
012,D,2,6,4,1,2,7
013,D,7,3,5,1,2,5
014,D,6,4,4,2,2,2
015,D,4,8,2,1,2,9
017,D,5,7,5,7,7,7
018,D,5,4,4,1,2,1
019,D,2,7,5,7,3,3
020,D,7,3,2,6,4,2
021,D,6,6,3,1,5,4
023,D,3,2,1,1,3,8
024,D,7,4,5,3,8,6
025,D,7,3,2,3,4,3
026,D,6,4,1,1,7,2
027,D,6,3,1,2,5,2
028,D,9,3,2,6,1,5
